2022-04-07T15:40:21.118507, DEBUG, debug, __init__, Execution started
2022-04-07T15:40:21.118820, DEBUG, debug, , urls: [Url(url='/', viewClass=<function Index at 0x7fe168cdb200>, viewParams={}, name='Главная страница', inMenu=True), Url(url='/category/edit/*', viewClass=<class 'element_edit.ElementEditView'>, viewParams={'element_class': <class 'category.Category'>, 'element_html_class_name': 'Category', 'html_template_form': 'app/element_edit.html'}, name='Категории курсов', inMenu=False), Url(url='/course/edit/*', viewClass=<class 'course.CourseEditView'>, viewParams={'element_class': <class 'course.Course'>, 'element_html_class_name': 'Course', 'html_template_form': 'app/element_edit.html'}, name='Курсы', inMenu=False), Url(url='/contact', viewClass=<function Contact at 0x7fe168cfca70>, viewParams={}, name='Обратная связь', inMenu=True)]
2022-04-07T15:40:21.119107, DEBUG, debug, __init__, Execution finished
2022-04-07T15:40:21.119383, DEBUG, debug, Framework, Execution finished
2022-04-07T15:46:32.435715, DEBUG, debug, app, Test debug message
2022-04-07T15:46:32.436372, DEBUG, debug, Framework, Execution started
2022-04-07T15:46:32.436652, DEBUG, debug, __init__, Execution started
2022-04-07T15:46:32.436923, DEBUG, debug, __init__, Execution finished
2022-04-07T15:46:32.437187, DEBUG, debug, Framework, Execution finished
2022-04-07T15:46:36.783724, DEBUG, debug, Index, Execution started
2022-04-07T15:46:36.784087, DEBUG, debug, Index, Execution finished
2022-04-07T15:46:36.784410, DEBUG, debug, run, Execution started
2022-04-07T15:46:36.787546, DEBUG, debug, run, Execution finished
2022-04-07T16:03:16.936410, DEBUG, debug, app, Test debug message
2022-04-07T16:04:33.494690, DEBUG, debug, app, Test debug message
2022-04-07T16:07:38.443383, DEBUG, debug, app, Test debug message
2022-04-07T16:07:43.951526, DEBUG, debug, Index, Execution started
2022-04-07T16:07:43.951850, DEBUG, debug, Index, Execution finished
2022-04-07T16:07:43.952140, DEBUG, debug, run, Execution started
2022-04-07T16:07:43.955150, DEBUG, debug, run, Execution finished
2022-04-07T16:07:54.395888, DEBUG, debug, Index, Execution started
2022-04-07T16:07:54.396232, DEBUG, debug, Index, Execution finished
2022-04-07T16:07:54.396566, DEBUG, debug, run, Execution started
2022-04-07T16:07:54.399624, DEBUG, debug, run, Execution finished
2022-04-07T16:08:12.394584, DEBUG, debug, app, Test debug message
2022-04-07T16:08:15.447681, DEBUG, debug, Index, Execution started
2022-04-07T16:08:15.448046, DEBUG, debug, Index, Execution finished
2022-04-07T16:08:15.448517, DEBUG, debug, run, Execution started
2022-04-07T16:08:15.451688, DEBUG, debug, run, Execution finished
2022-04-07T16:08:47.659339, DEBUG, debug, app, Test debug message
2022-04-07T16:08:51.152841, DEBUG, debug, Index, Execution started
2022-04-07T16:08:51.153204, DEBUG, debug, Index, Execution finished
2022-04-07T16:08:51.153666, DEBUG, debug, run, Execution started
2022-04-07T16:08:51.156698, DEBUG, debug, run, Execution finished
2022-04-07T16:09:26.279271, DEBUG, debug, app, Test debug message
2022-04-07T16:10:52.852329, DEBUG, debug, app, Test debug message
2022-04-07T16:10:59.633986, DEBUG, debug, Index, Execution started
2022-04-07T16:10:59.634381, DEBUG, debug, Index, Execution finished
2022-04-07T16:10:59.634721, DEBUG, debug, run, Execution started
2022-04-07T16:10:59.638046, DEBUG, debug, run, Execution finished
2022-04-07T18:52:30.544716, DEBUG, debug, app, Test debug message
2022-04-07T18:52:49.944272, DEBUG, debug, Index, Execution started
2022-04-07T18:52:49.944660, DEBUG, debug, Index, Execution finished
2022-04-07T18:52:49.945007, DEBUG, debug, run, Execution started
2022-04-07T18:52:49.948181, DEBUG, debug, run, Execution finished
2022-04-07T18:54:34.230240, DEBUG, debug, Index, Execution started
2022-04-07T18:54:34.230584, DEBUG, debug, Index, Execution finished
2022-04-07T18:54:34.230988, DEBUG, debug, run, Execution started
2022-04-07T18:54:34.234001, DEBUG, debug, run, Execution finished
2022-04-07T18:54:49.020185, DEBUG, debug, Index, Execution started
2022-04-07T18:54:49.020566, DEBUG, debug, Index, Execution finished
2022-04-07T18:54:49.020902, DEBUG, debug, run, Execution started
2022-04-07T18:54:49.023879, DEBUG, debug, run, Execution finished
2022-04-11T22:34:06.673648, DEBUG, debug, app, Test debug message
2022-04-11T22:34:14.214297, DEBUG, debug, Index, Execution started
2022-04-11T22:34:14.214642, DEBUG, debug, Index, Execution finished
2022-04-11T22:34:14.214942, DEBUG, debug, run, Execution started
2022-04-11T22:34:14.218909, DEBUG, debug, run, Execution finished
2022-04-11T22:34:19.713510, DEBUG, debug, Index, Execution started
2022-04-11T22:34:19.713857, DEBUG, debug, Index, Execution finished
2022-04-11T22:34:19.714195, DEBUG, debug, run, Execution started
2022-04-11T22:34:19.717053, DEBUG, debug, run, Execution finished
2022-04-11T22:44:42.233043, DEBUG, debug, app, Test debug message
2022-04-11T22:44:45.443452, DEBUG, debug, Index, Execution started
2022-04-11T22:44:45.443847, DEBUG, debug, Index, Execution finished
2022-04-11T22:44:45.444172, DEBUG, debug, run, Execution started
2022-04-11T22:44:45.447215, DEBUG, debug, run, Execution finished
2022-04-11T22:44:50.471427, DEBUG, debug, Index, Execution started
2022-04-11T22:44:50.471792, DEBUG, debug, Index, Execution finished
2022-04-11T22:44:50.472164, DEBUG, debug, run, Execution started
2022-04-11T22:44:50.475107, DEBUG, debug, run, Execution finished
2022-04-11T23:05:26.123138, DEBUG, debug, app, Test debug message
2022-04-11T23:07:08.422898, DEBUG, debug, app, Test debug message
2022-04-11T23:23:47.694994, DEBUG, debug, app, Test debug message
2022-04-11T23:23:53.692990, DEBUG, debug, Index, Execution started
2022-04-11T23:23:53.693352, DEBUG, debug, Index, Execution finished
2022-04-11T23:23:53.693682, DEBUG, debug, run, Execution started
2022-04-11T23:23:53.696883, DEBUG, debug, run, Execution finished
2022-04-11T23:24:01.645703, DEBUG, debug, Index, Execution started
2022-04-11T23:24:01.646164, DEBUG, debug, Index, Execution finished
2022-04-11T23:24:01.646499, DEBUG, debug, run, Execution started
2022-04-11T23:24:01.649548, DEBUG, debug, run, Execution finished
2022-04-11T23:24:20.005712, DEBUG, debug, Index, Execution started
2022-04-11T23:24:20.006152, DEBUG, debug, Index, Execution finished
2022-04-11T23:24:20.006485, DEBUG, debug, run, Execution started
2022-04-11T23:24:20.009513, DEBUG, debug, run, Execution finished
2022-04-12T12:01:03.853099, DEBUG, debug, app, Test debug message
2022-04-12T15:18:32.678827, DEBUG, debug, app, Test debug message
2022-04-12T15:22:57.379921, DEBUG, debug, app, Test debug message
2022-04-12T15:23:20.498063, DEBUG, debug, app, Test debug message
2022-04-12T15:25:30.596899, DEBUG, debug, app, Test debug message
2022-04-12T15:48:45.913858, DEBUG, debug, app, Test debug message
2022-04-12T15:52:28.142805, DEBUG, debug, app, Test debug message
2022-04-12T15:52:58.347287, DEBUG, debug, app, Test debug message
2022-04-12T16:01:33.588871, DEBUG, debug, app, Test debug message
2022-04-12T16:13:25.385637, DEBUG, debug, app, Test debug message
2022-04-12T16:15:09.375844, DEBUG, debug, app, Test debug message
2022-04-12T16:16:20.806889, DEBUG, debug, app, Test debug message
2022-04-12T16:16:41.549233, DEBUG, debug, app, Test debug message
2022-04-12T16:17:49.854572, DEBUG, debug, app, Test debug message
2022-04-12T16:18:37.349625, DEBUG, debug, app, Test debug message
2022-04-12T16:22:26.138638, DEBUG, debug, app, Test debug message
2022-04-12T16:24:43.186432, DEBUG, debug, app, Test debug message
2022-04-12T16:25:47.589339, DEBUG, debug, app, Test debug message
